State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Biggs Unified,605040,2009,-12.70%,0.00%,0.00%,0.00%,0.00%,0.00%,12.80%,0.00%,12.70%,0.00%,13.30%,0.00%
CA,Bitterwater-Tully Union Elemen,605190,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Black Oak Mine Unified,605240,2009,-9.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.80%,0.00%,8.90%,0.00%
CA,Bonita Unified,605610,2009,10.90%,0.00%,4.50%,0.00%,4.70%,0.00%,6.70%,16.40%,5.50%,12.60%,7.00%,4.00%
CA,Bonsall Union Elementary,605670,2009,-1.90%,5.30%,0.00%,0.00%,0.00%,0.00%,1.60%,0.00%,1.90%,0.00%,2.30%,2.70%
CA,Brawley Elementary,605790,2009,-18.60%,0.00%,0.00%,0.00%,0.00%,0.00%,6.40%,9.10%,27.70%,0.00%,7.80%,3.30%
CA,Brea-Olinda Unified,605880,2009,-3.60%,0.00%,0.80%,0.80%,0.00%,0.00%,5.20%,0.00%,3.60%,0.00%,3.60%,3.10%
CA,Brentwood Union Elementary,605910,2009,8.70%,10.00%,2.40%,0.00%,2.90%,2.10%,5.00%,12.00%,3.30%,3.30%,4.60%,3.50%
CA,Buckeye Union Elementary,606270,2009,5.10%,0.00%,1.30%,0.00%,1.30%,0.00%,2.70%,7.70%,2.60%,3.70%,2.80%,0.00%
CA,Buellton Union Elementary,606330,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,2.90%,0.00%
CA,Buena Park Elementary,606360,2009,-1.00%,0.00%,1.80%,1.80%,0.00%,0.00%,5.90%,8.10%,9.10%,0.00%,5.40%,4.00%
CA,Burton Elementary,606570,2009,-9.90%,7.10%,11.80%,11.80%,0.00%,0.00%,19.80%,12.50%,22.40%,0.00%,19.70%,12.80%
CA,Byron Union Elementary,606750,2009,5.20%,0.00%,0.00%,0.00%,0.00%,0.00%,1.90%,6.50%,1.30%,0.00%,1.60%,0.00%
CA,Cabrillo Unified,606780,2009,-4.50%,0.00%,3.00%,3.00%,0.00%,0.00%,8.90%,0.00%,4.50%,0.00%,6.70%,1.40%
CA,Cajon Valley Union Elementary,606810,2009,6.70%,5.30%,3.30%,0.00%,0.00%,6.20%,4.10%,9.70%,3.10%,5.90%,4.10%,3.30%
CA,Calaveras Unified,606870,2009,2.40%,5.60%,6.70%,6.70%,0.00%,0.00%,9.10%,11.10%,8.70%,0.00%,9.20%,0.00%
CA,Calexico Unified,606900,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.70%,0.00%,0.00%,0.00%,5.60%,6.60%
CA,California School For The Deaf,600003,2009,-4.00%,0.00%,11.10%,0.00%,12.50%,0.00%,16.70%,18.20%,22.20%,0.00%,20.00%,22.00%
CA,California School For The Deaf Riverside,600007,2009,-20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.70%,10.00%,30.00%,0.00%,16.20%,16.20%
CA,Cambrian,607140,2009,1.60%,0.00%,1.60%,1.60%,0.00%,0.00%,4.50%,4.00%,2.40%,0.00%,2.60%,0.00%
CA,Campbell Union Elementary,607200,2009,4.00%,0.00%,2.00%,0.00%,1.90%,2.00%,5.20%,7.70%,3.70%,0.00%,4.10%,6.80%
CA,Campbell Union High,607230,2009,3.60%,0.00%,2.10%,0.00%,1.10%,20.00%,10.80%,9.60%,6.00%,3.60%,7.00%,16.80%
CA,Capistrano Unified,607440,2009,1.70%,0.00%,0.70%,0.00%,0.70%,0.00%,3.60%,3.10%,1.40%,1.40%,1.90%,2.50%
CA,Carlsbad Unified,607500,2009,4.20%,0.00%,1.80%,0.00%,1.90%,0.00%,5.30%,7.10%,3.00%,2.50%,3.60%,2.50%
CA,Carpinteria Unified,607560,2009,-6.40%,0.00%,0.00%,0.00%,0.00%,0.00%,9.50%,0.00%,6.40%,0.00%,8.80%,10.20%
CA,Cascade Union Elementary,607680,2009,2.40%,12.10%,0.00%,0.00%,0.00%,0.00%,8.70%,14.30%,11.90%,0.00%,11.90%,6.90%
CA,Castaic Union Elementary,607740,2009,4.30%,0.00%,1.70%,1.70%,0.00%,0.00%,3.80%,8.00%,3.70%,0.00%,3.80%,7.40%
CA,Castro Valley Unified,607800,2009,3.60%,0.00%,1.70%,0.00%,1.50%,10.00%,5.30%,8.20%,4.60%,3.90%,4.10%,2.50%
CA,Center Joint Unified,607900,2009,5.20%,16.70%,4.10%,4.10%,0.00%,0.00%,7.90%,13.80%,8.60%,0.00%,9.00%,25.00%
CA,Central Elementary,607950,2009,-0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,3.00%,3.50%,0.00%,2.50%,0.00%
CA,Central Unified,607970,2009,14.80%,12.50%,3.70%,0.00%,3.50%,14.30%,9.70%,23.70%,8.90%,0.00%,10.00%,5.50%
CA,Central Union High,608010,2009,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.40%,15.40%,9.40%,0.00%,7.90%,9.60%
CA,Centralia Elementary,608070,2009,1.30%,25.00%,0.40%,0.40%,0.00%,0.00%,1.20%,2.50%,1.30%,0.00%,1.20%,0.60%
CA,Ceres Unified,608130,2009,10.90%,19.20%,8.20%,0.00%,7.50%,12.50%,13.50%,25.00%,14.10%,4.40%,13.50%,9.50%
CA,Chaffey Joint Union High,608160,2009,7.70%,5.60%,4.70%,0.00%,3.90%,14.80%,12.70%,17.00%,9.30%,9.40%,11.90%,18.50%
CA,Charter Oak Unified,608190,2009,2.40%,11.10%,2.10%,2.10%,0.00%,0.00%,4.90%,6.30%,3.80%,0.00%,4.40%,4.40%
CA,Chico Unified,608370,2009,8.30%,9.10%,3.60%,3.60%,0.00%,0.00%,6.90%,14.40%,6.10%,0.00%,6.50%,4.00%
CA,Chino Valley Unified,608460,2009,3.30%,0.00%,2.00%,0.00%,1.80%,13.30%,6.90%,8.10%,4.80%,3.40%,5.70%,5.80%
CA,Chowchilla Union High School,608550,2009,28.80%,0.00%,0.00%,0.00%,0.00%,0.00%,10.60%,40.00%,11.30%,0.00%,10.80%,20.00%
CA,Chula Vista Elementary,608610,2009,0.20%,3.70%,0.10%,0.00%,0.10%,0.00%,0.30%,0.90%,0.70%,0.00%,0.40%,0.20%
CA,Citrus South Tule Elementary,608730,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Claremont Unified,608760,2009,7.20%,0.00%,1.20%,0.00%,1.40%,0.00%,6.40%,9.90%,2.70%,5.20%,4.70%,5.50%
CA,Clear Creek Elementary,608880,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Clovis Unified,609030,2009,3.90%,6.10%,0.70%,0.00%,0.90%,0.00%,4.20%,6.20%,2.40%,43.50%,3.10%,3.40%
CA,Coachella Valley Unified,609070,2009,3.80%,4.80%,0.00%,0.00%,0.00%,0.00%,8.20%,21.40%,17.60%,0.00%,8.40%,7.20%
